customerID,gender,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,Yes,Electronic check,29.85,29.85,No
5575-GNVDE,Male,No,Mailed check,56.95,1889.5,No
3668-QPYBK,Male,Yes,Mailed check,53.85,108.15,Yes
7795-CFOCW,Male,No,Bank transfer (automatic),42.3,1840.75,No
9237-HQITU,Female,Yes,Electronic check,70.7,151.65,Yes
9305-CDSKC,Female,Yes,Electronic check,99.65,820.5,Yes
1452-KIOVK,Male,Yes,Credit card (automatic),89.1,1949.4,No
6713-OKOMC,Female,No,Mailed check,29.75,301.9,No
7892-POOKP,Female,Yes,Electronic check,104.8,3046.05,Yes
6388-TABGU,Male,No,Bank transfer (automatic),56.15,3487.95,No
9763-GRSKD,Male,Yes,Mailed check,49.95,587.45,No
7469-LKBCI,Male,No,Credit card (automatic),18.95,326.8,No
8091-TTVAX,Male,No,Credit card (automatic),100.35,5681.1,No
0280-XJGEX,Male,Yes,Bank transfer (automatic),103.7,5036.3,Yes
5129-JLPIS,Male,Yes,Electronic check,105.5,2686.05,No
3655-SNQYZ,Female,No,Credit card (automatic),113.25,7895.15,No
8191-XWSZG,Female,No,Mailed check,20.65,1022.95,No
9959-WOFKT,Male,No,Bank transfer (automatic),106.7,7382.25,No
4190-MFLUW,Female,No,Credit card (automatic),55.2,528.35,Yes
4183-MYFRB,Female,Yes,Electronic check,90.05,1862.9,No
8779-QRDMV,Male,Yes,Electronic check,39.65,39.65,Yes
1680-VDCWW,Male,No,Bank transfer (automatic),19.8,202.25,No
1066-JKSGK,Male,No,Mailed check,20.15,20.15,Yes
3638-WEABW,Female,Yes,Credit card (automatic),59.9,3505.1,No
6322-HRPFA,Male,No,Credit card (automatic),59.6,2970.3,No
6865-JZNKO,Female,Yes,Bank transfer (automatic),55.3,1530.6,No
6467-CHFZW,Male,Yes,Electronic check,99.35,4749.15,Yes
8665-UTDHZ,Male,No,Electronic check,30.2,30.2,Yes
5248-YGIJN,Male,Yes,Credit card (automatic),90.25,6369.45,No
8773-HHUOZ,Female,Yes,Mailed check,64.7,1093.1,Yes
3841-NFECX,Female,Yes,Credit card (automatic),96.35,6766.95,No
4929-XIHVW,Male,Yes,Credit card (automatic),95.5,181.65,No
6827-IEAUQ,Female,No,Mailed check,66.15,1874.45,No
7310-EGVHZ,Male,No,Bank transfer (automatic),20.2,20.2,No
3413-BMNZE,Male,No,Bank transfer (automatic),45.25,45.25,No
6234-RAAPL,Female,No,Bank transfer (automatic),99.9,7251.7,No
6047-YHPVI,Male,Yes,Electronic check,69.7,316.9,Yes
6572-ADKRS,Female,Yes,Credit card (automatic),74.8,3548.3,No
5380-WJKOV,Male,Yes,Electronic check,106.35,3549.25,Yes
8168-UQWWF,Female,Yes,Bank transfer (automatic),97.85,1105.4,Yes
8865-TNMNX,Male,No,Mailed check,49.55,475.7,No
9489-DEDVP,Female,Yes,Credit card (automatic),69.2,4872.35,No
9867-JCZSP,Female,No,Mailed check,20.75,418.25,No
4671-VJLCL,Female,Yes,Credit card (automatic),79.85,4861.45,No
4080-IIARD,Female,Yes,Electronic check,76.2,981.45,No
3714-NTNFO,Female,Yes,Electronic check,84.5,3906.7,No
5948-UJZLF,Male,No,Mailed check,49.25,97,No
7760-OYPDY,Female,Yes,Electronic check,80.65,144.15,Yes
7639-LIAYI,Male,Yes,Credit card (automatic),79.75,4217.8,No
2954-PIBKO,Female,Yes,Credit card (automatic),64.15,4254.1,No
8012-SOUDQ,Female,Yes,Electronic check,90.25,3838.75,No
9420-LOJKX,Female,Yes,Credit card (automatic),99.1,1426.4,Yes
6575-SUVOI,Female,Yes,Credit card (automatic),69.5,1752.65,No
7495-OOKFY,Female,Yes,Credit card (automatic),80.65,633.3,Yes
4667-QONEA,Female,Yes,Credit card (automatic),74.85,4456.35,No
1658-BYGOY,Male,Yes,Electronic check,95.45,1752.55,Yes
8769-KKTPH,Female,Yes,Credit card (automatic),99.65,6311.2,No
5067-XJQFU,Male,Yes,Electronic check,108.45,7076.35,No
3957-SQXML,Female,No,Credit card (automatic),24.95,894.3,No
5954-BDFSG,Female,Yes,Credit card (automatic),107.5,7853.7,No
0434-CSFON,Female,Yes,Electronic check,100.5,4707.1,No
1215-FIGMP,Male,Yes,Bank transfer (automatic),89.9,5450.7,No
0526-SXDJP,Male,No,Bank transfer (automatic),42.1,2962,No
0557-ASKVU,Female,Yes,Credit card (automatic),54.4,957.1,No
5698-BQJOH,Female,No,Electronic check,94.4,857.25,Yes
5122-CYFXA,Female,Yes,Electronic check,75.3,244.1,No
8627-ZYGSZ,Male,Yes,Electronic check,78.9,3650.35,No
3410-YOQBQ,Female,No,Mailed check,79.2,2497.2,No
3170-NMYVV,Female,No,Bank transfer (automatic),20.15,930.9,No
7410-OIEDU,Male,Yes,Mailed check,79.85,887.35,No
2273-QCKXA,Male,No,Mailed check,49.05,49.05,No
0731-EBJQB,Female,Yes,Electronic check,20.4,1090.65,No
1891-QRQSA,Male,Yes,Bank transfer (automatic),111.6,7099,No
8028-PNXHQ,Male,Yes,Bank transfer (automatic),24.25,1424.6,No
5630-AHZIL,Female,Yes,Bank transfer (automatic),64.5,177.4,No
2673-CXQEU,Female,No,Electronic check,110.5,6139.5,No
6416-JNVRK,Female,No,Credit card (automatic),55.65,2688.85,No
5590-ZSKRV,Female,No,Mailed check,54.65,482.25,No
0191-ZHSKZ,Male,Yes,Electronic check,74.75,2111.3,No
3887-PBQAO,Female,Yes,Credit card (automatic),25.9,1216.6,No
5919-TMRGD,Female,Yes,Electronic check,79.35,79.35,Yes
8108-UXRQN,Female,No,Electronic check,50.55,565.35,No
9191-MYQKX,Female,Yes,Bank transfer (automatic),75.15,496.9,Yes
9919-YLNNG,Female,Yes,Bank transfer (automatic),103.8,4327.5,No
0318-ZOPWS,Female,Yes,Bank transfer (automatic),20.15,973.35,No
4445-ZJNMU,Male,Yes,Credit card (automatic),99.3,918.75,No
4808-YNLEU,Female,Yes,Bank transfer (automatic),62.15,2215.45,No
1862-QRWPE,Female,No,Bank transfer (automatic),20.65,1057,No
2796-NNUFI,Female,Yes,Mailed check,19.95,927.1,No
3016-KSVCP,Male,No,Mailed check,33.75,1009.25,No
4767-HZZHQ,Male,No,Bank transfer (automatic),82.05,2570.2,No
2424-WVHPL,Male,No,Electronic check,74.7,74.7,No
7233-PAHHL,Male,Yes,Mailed check,84,5714.25,No
6067-NGCEU,Female,Yes,Credit card (automatic),111.05,7107,No
9848-JQJTX,Male,Yes,Bank transfer (automatic),100.9,7459.05,No
8637-XJIVR,Female,Yes,Electronic check,78.95,927.35,Yes
9803-FTJCG,Male,Yes,Credit card (automatic),66.85,4748.7,No
0278-YXOOG,Male,No,Mailed check,21.05,113.85,Yes
3212-KXOCR,Male,No,Bank transfer (automatic),21,1107.2,No
4598-XLKNJ,Female,Yes,Electronic check,98.5,2514.5,Yes
6380-ARCEH,Male,No,Mailed check,20.2,20.2,No
3679-XASPY,Female,No,Electronic check,19.45,19.45,No
7123-WQUHX,Male,No,Bank transfer (automatic),95,3605.6,No
5386-THSLQ,Female,No,Bank transfer (automatic),45.55,3027.25,No
3192-NQECA,Male,Yes,Bank transfer (automatic),110,7611.85,Yes
6180-YBIQI,Male,No,Mailed check,24.3,100.2,No
6728-DKUCO,Female,Yes,Electronic check,104.15,7303.05,No
9750-BOOHV,Female,No,Mailed check,30.15,927.65,No
8597-CWYHH,Male,No,Mailed check,94.35,3921.3,No
2848-YXSMW,Male,No,Credit card (automatic),19.4,1363.25,No
0486-HECZI,Male,Yes,Electronic check,96.75,5238.9,Yes
4549-ZDQYY,Female,No,Credit card (automatic),57.95,3042.25,No
5712-AHQNN,Female,Yes,Electronic check,91.65,3954.1,No
4846-WHAFZ,Female,Yes,Electronic check,76.5,2868.15,Yes
5256-SKJGO,Female,Yes,Electronic check,54.6,3423.5,No
3071-VBYPO,Male,No,Electronic check,89.85,248.4,No
9560-BBZXK,Female,No,Bank transfer (automatic),31.05,1126.35,No
5299-RULOA,Female,Yes,Electronic check,100.25,1064.65,Yes
8402-OOOHJ,Female,No,Mailed check,20.65,835.15,No
9445-ZUEQE,Male,Yes,Credit card (automatic),85.2,2151.6,No
1091-SOZGA,Female,Yes,Credit card (automatic),99.8,5515.45,No
2928-HLDBA,Female,No,Mailed check,20.7,112.75,No
0404-SWRVG,Male,Yes,Electronic check,74.4,229.55,Yes
6497-TILVL,Female,No,Mailed check,50.7,350.35,No
7219-TLZHO,Female,No,Mailed check,20.85,62.9,No
4622-YNKIJ,Male,Yes,Electronic check,88.95,3027.65,No
4412-YLTKF,Female,Yes,Electronic check,78.05,2135.5,Yes
6734-PSBAW,Male,Yes,Bank transfer (automatic),23.55,1723.95,No
3930-ZGWVE,Male,No,Mailed check,19.75,19.75,No
2639-UGMAZ,Male,Yes,Electronic check,56.45,3985.35,No
2876-GZYZC,Female,Yes,Electronic check,85.95,1215.65,No
6207-WIOLX,Female,Yes,Credit card (automatic),58.6,1502.65,Yes
8587-XYZSF,Male,No,Bank transfer (automatic),50.55,3260.1,No
3091-FYHKI,Male,Yes,Electronic check,35.45,35.45,Yes
2372-HWUHI,Male,No,Electronic check,44.35,81.25,Yes
7799-LGRDP,Female,Yes,Credit card (automatic),25.7,1188.2,No
7850-VWJUU,Female,Yes,Bank transfer (automatic),75,1778.5,No
3774-VBNXY,Female,No,Mailed check,20.2,1277.75,No
6217-KDYWC,Male,Yes,Mailed check,19.6,1170.55,No
0390-DCFDQ,Female,Yes,Mailed check,70.45,70.45,Yes
3146-MSEGF,Female,Yes,Credit card (automatic),88.05,6425.65,No
4080-OGPJL,Female,No,Electronic check,71.15,563.65,Yes
1095-WGNGG,Female,Yes,Bank transfer (automatic),101.05,5971.25,No
2636-SJDOU,Male,Yes,Credit card (automatic),84.3,5289.05,No
1131-QQZEB,Male,No,Bank transfer (automatic),23.95,1756.2,No
5716-EZXZN,Female,Yes,Credit card (automatic),99.05,6416.7,No
6837-BJYDQ,Male,No,Mailed check,19.6,61.35,No
2135-RXIHG,Male,Yes,Electronic check,45.65,45.65,Yes
6440-DKQGE,Male,No,Credit card (automatic),64.5,1929.95,No
3466-BYAVD,Male,Yes,Mailed check,69.5,1071.4,No
3780-YVMFA,Female,Yes,Electronic check,68.55,564.35,No
3874-EQOEP,Male,No,Mailed check,95,655.5,Yes
1679-JRFBR,Female,Yes,Credit card (automatic),108.15,7930.55,No
9073-ZZIAY,Male,No,Electronic check,86.1,5215.25,No
3077-RSNTJ,Female,No,Mailed check,19.7,113.5,No
6551-GNYDG,Female,Yes,Bank transfer (automatic),80.9,1152.8,No
9167-APMXZ,Female,Yes,Bank transfer (automatic),84.15,1821.95,No
2749-CTKAJ,Male,No,Mailed check,20.15,419.9,No
6371-NZYEG,Male,No,Mailed check,64.25,1024,No
7554-NEWDD,Male,No,Bank transfer (automatic),25.7,251.6,No
8992-VONJD,Female,Yes,Electronic check,56,764.55,No
0867-MKZVY,Female,No,Electronic check,82.4,1592.35,Yes
